src_ip,dst_ip
10.12.1.230,10.12.90.31
10.12.1.230,10.12.86.44
10.12.1.230,10.12.88.35
10.12.1.230,10.12.10.35
10.12.1.230,10.12.84.48
10.12.1.230,10.12.86.32
10.12.1.230,10.12.45.118
10.12.1.230,10.12.45.87
10.12.1.230,10.12.2.202
10.12.1.230,10.12.60.67
10.12.1.230,10.12.45.58
10.12.1.230,10.12.68.51
10.12.1.230,10.12.42.42
10.12.1.230,10.12.85.15
10.12.1.230,10.12.86.36
10.12.1.230,10.12.40.7
10.12.1.230,10.12.85.26
10.12.1.230,10.12.2.253
10.12.1.230,10.12.20.52
10.12.1.230,10.12.87.37
10.12.88.60,10.12.1.37
10.12.88.209,10.12.1.37
10.12.45.239,10.12.1.100
10.12.45.239,10.12.1.37
10.12.44.53,10.12.44.39
10.12.44.53,10.12.1.205
10.12.44.53,10.12.1.37
10.12.87.86,10.12.1.67
10.12.49.43,10.12.1.37
10.12.49.43,10.12.1.100
10.12.68.34,10.12.1.2
10.12.68.34,10.12.1.37
10.12.44.113,10.12.1.37
10.12.44.113,10.12.1.2
10.12.44.113,10.12.1.225
10.12.44.113,10.12.1.225
10.12.88.53,10.12.1.37
10.12.48.159,10.12.1.40
10.12.48.159,10.12.1.2
10.12.2.82,10.12.60.88
10.12.2.82,10.12.60.66
10.12.2.82,10.12.60.91
10.12.2.82,10.12.60.69
10.12.2.82,10.12.52.31
10.12.2.82,10.12.80.46
10.12.2.82,10.12.60.61
10.12.86.33,10.12.1.37
10.12.86.33,10.12.1.2
10.13.132.22,10.12.1.100
10.12.8.34,10.12.1.67
10.12.8.34,10.12.1.37
10.12.16.38,10.12.1.2
10.12.16.38,10.12.1.37
10.12.41.250,10.12.1.37
10.12.88.183,10.12.1.37
10.12.49.41,10.12.1.37
10.12.49.41,10.12.1.2
10.12.88.190,10.12.1.37
10.12.49.42,10.12.1.37
10.12.49.42,10.12.1.2
10.12.49.42,10.12.1.100
10.12.49.42,10.12.1.100
10.12.49.42,10.12.1.100
10.12.88.86,10.12.1.37
10.12.88.205,10.12.1.37
10.12.2.72,10.12.1.48
10.13.132.6,10.12.1.100
10.12.88.175,10.12.1.37
10.13.45.180,10.12.1.100
10.12.88.52,10.12.1.37
10.12.80.46,10.12.1.225
10.12.80.46,10.12.1.37
10.12.88.40,10.12.1.37
10.12.3.17,10.12.3.1
10.12.88.208,10.12.1.37
10.12.48.23,10.12.1.2
10.12.45.61,10.12.1.37
