src_IP,des_IP,count_re
10.12.44.0/24,172.16.1.0/24,2205
10.12.45.0/24,10.1.100.0/24,5
10.12.45.0/24,10.12.1.0/24,8968537
10.12.45.0/24,10.12.107.0/24,3
10.12.45.0/24,10.12.2.0/24,378
10.12.45.0/24,10.12.20.0/24,8594
10.12.45.0/24,10.12.200.0/24,220966
10.12.45.0/24,10.12.32.0/24,8054
10.12.45.0/24,10.12.36.0/24,331
10.12.45.0/24,10.12.44.0/24,113942
10.12.45.0/24,10.12.45.0/24,1159907
10.12.45.0/24,10.12.48.0/24,631
10.12.45.0/24,10.12.68.0/24,205
10.12.45.0/24,10.12.72.0/24,55378
10.12.45.0/24,10.12.80.0/24,32242
10.12.45.0/24,10.12.86.0/24,11054
10.12.45.0/24,10.12.9.0/24,21
10.12.45.0/24,10.12.92.0/24,42
10.12.45.0/24,10.33.3.0/24,25
10.12.45.0/24,172.16.1.0/24,1925
10.12.45.0/24,172.24.100.0/24,2545
10.12.48.0/24,10.12.1.0/24,3891653
10.12.48.0/24,10.12.200.0/24,32
10.12.48.0/24,10.12.45.0/24,4
10.12.48.0/24,10.12.80.0/24,54
10.12.48.0/24,172.18.2.0/24,10
10.12.49.0/24,10.0.0.0/24,1525
10.12.49.0/24,10.0.8.0/24,10
10.12.49.0/24,10.12.1.0/24,7737956
10.12.49.0/24,10.12.80.0/24,40
10.12.49.0/24,10.33.3.0/24,290
10.12.49.0/24,192.168.0.0/24,7825
10.12.52.0/24,10.1.104.0/24,10
10.12.52.0/24,10.12.1.0/24,3581057
10.12.52.0/24,10.12.2.0/24,37
10.12.52.0/24,10.12.52.0/24,133365
10.12.52.0/24,10.33.3.0/24,5
10.12.52.0/24,172.24.100.0/24,135
10.12.56.0/24,10.12.1.0/24,994566
10.12.56.0/24,10.12.80.0/24,6
10.12.60.0/24,10.12.1.0/24,5787632
10.12.60.0/24,10.12.2.0/24,69
10.12.60.0/24,10.12.44.0/24,3979
10.12.60.0/24,10.12.60.0/24,1667864
10.12.60.0/24,10.12.68.0/24,3353
10.12.60.0/24,10.33.3.0/24,155
10.12.60.0/24,172.16.1.0/24,2015
10.12.60.0/24,192.168.0.0/24,2245
10.12.64.0/24,10.12.1.0/24,759247
10.12.64.0/24,10.33.3.0/24,5
10.12.68.0/24,10.1.104.0/24,5
